,title,price,link
10,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹38,990",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMG9VHHG6Q3RRJX.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
11,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS T...,"₹50,990",/asus-vivobook-15-2022-core-i5-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x515ea-ej502ws-thin-light-laptop/p/itm1d88bb23a2484?pid=COMG87FFG6S8ZRXP&lid=LSTCOMG87FFG6S8ZRXPPOZ9DA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMG87FFG6S8ZRXP.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
12,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹54,990",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGFM5BFZHDDB4R.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
13,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB5...,"₹47,990",/asus-vivobook-14-2022-ryzen-7-quad-core-amd-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m415da-eb512ws-thin-light-laptop/p/itm111b016e68725?pid=COMGCG2GDC5RZZNX&lid=LSTCOMGCG2GDC5RZZNXYTRZ0J&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGCG2GDC5RZZNX.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
14,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,"₹54,990",/msi-bravo-15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGGHMQVWN6JJGC.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
15,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹32,490",/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ff?pid=COMGCYF9EZKKPEWD&lid=LSTCOMGCYF9EZKKPEWDXSSFWJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGCYF9EZKKPEWD.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
16,HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,"₹51,490",/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm09b322c037285?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CT0PG6J&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGFRHGDB9G3Z9C.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
17,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,"₹38,490",/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14s-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYQPFKJJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
18,acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,"₹33,990",/acer-extensa-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-ex-215-54-215-54-356v-thin-light-laptop/p/itm04c565616da14?pid=COMGGYEBDUJ4PYS9&lid=LSTCOMGGYEBDUJ4PYS9H9GDDB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGGYEBDUJ4PYS9.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
19,acer Predator Helios 300 Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹1,34,990",/acer-predator-helios-300-core-i9-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-ph315-55-ph315-55-99z6-gaming-laptop/p/itm85043c4f71d4a?pid=COMGHY4DQWWBKZUK&lid=LSTCOMGHY4DQWWBKZUKT8DSUT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGHY4DQWWBKZUK.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
20,ASUS Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X415JA-BV302W Thin and Light Laptop,"₹31,990",/asus-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv302w-thin-light-laptop/p/itmb33efa3aca61b?pid=COMGEEXVEZ8FGEZQ&lid=LSTCOMGEEXVEZ8FGEZQTXPRFY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGEEXVEZ8FGEZQ.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
21,Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,"₹27,990",/lenovo-ideapad-3-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-81wq00mqin-81wq00nxin-laptop/p/itm2560cd9192f02?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYFKWK3S&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGDMXVJJB2HGMY.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
22,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 300...","₹42,990",/dell-inspiron-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3511-inspiron-3000-thin-light-laptop/p/itmb93d2a1e224d0?pid=COMGAD2B4QMZTWKB&lid=LSTCOMGAD2B4QMZTWKBLSB4SW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGAD2B4QMZTWKB.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
23,ASUS VivoBook 14 (2022) Ryzen 3 Dual Core AMD R3-3250U - (8 GB/256 GB SSD/Windows 11 Home) M515DA-BR32...,"₹28,990",/asus-vivobook-14-2022-ryzen-3-dual-core-amd-r3-3250u-8-gb-256-gb-ssd-windows-11-home-m515da-br322ws-thin-light-laptop/p/itm3e74b75d052c0?pid=COMGCG2GRZ7QVCDY&lid=LSTCOMGCG2GRZ7QVCDYDDOYQD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGCG2GRZ7QVCDY.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
24,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,"₹48,999",/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-14s-fq1092au-thin-light-laptop/p/itm808dc28eb54e7?pid=COMGAX8EYBZZDXY6&lid=LSTCOMGAX8EYBZZDXY6KGWIPZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMGAX8EYBZZDXY6.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
